Team,Rookie Year
13,1997
18,1997
24,1997
46,1998
52,1997
161,1995
199,1998
283,1999
338,2000
349,2000
351,2000
361,2000
402,2000
463,2000
464,2000
465,2000
466,2000
475,2000
491,2000
493,2001
502,2001
508,1997
512,2001
524,2001
551,2001
565,2001
574,2001
583,2001
591,2001
607,2001
609,2001
622,2001
635,2001
641,2001
643,2001
655,2001
659,2001
664,2001
679,2001
685,2001
688,2001
690,2001
700,2001
750,2002
755,2002
762,2002
800,2002
805,2002
822,2002
914,2002
917,2002
936,2002
941,2002
950,2002
962,2002
976,2002
1010,2003
1016,2003
1017,2003
1030,2003
1035,2003
1036,2003
1037,2003
1043,2003
1045,2003
1046,2003
1055,2003
1059,2003
1063,2003
1064,2003
1067,2003
1081,2003
1082,2003
1088,2003
1106,2003
1109,2003
1115,2003
1122,2003
1125,2003
1131,2003
1133,2003
1136,2003
1151,2003
1166,2003
1167,2003
1169,2003
1191,2003
1201,2003
1204,2003
1206,2003
1210,2003
1215,2003
1229,2003
1240,2004
1260,2004
1263,2004
1275,2004
1292,2004
1295,2004
1347,2004
1376,2004
1385,2004
1407,2004
1417,2004
1426,2004
1430,2004
1435,2004
1440,2004
1441,2004
1455,2004
1460,2004
1462,2004
1469,2004
1479,2004
1486,2004
1489,2004
1497,2004
1500,2005
1508,2005
1509,2005
1524,2005
1531,2005
1556,2005
1597,2005
1603,2005
1611,2005
1621,2005
1645,2005
1654,2005
1722,2006
1770,2006
1774,2012
1826,2006
1830,2006
1838,2006
1839,2006
1842,2006
1845,2006
1853,2006
1861,2006
1882,2006
1901,2006
1905,2006
1906,2006
1909,2006
1910,2006
1911,2006
1913,2006
1917,2006
1919,2006
1934,2006
1950,2006
1960,2006
1970,2006
1974,2006
1975,2006
2011,2007
2012,2007
2024,2007
2030,2007
2042,2007
2044,2007
2045,2007
2065,2007
2071,2007
2095,2007
2100,2007
2110,2007
2120,2007
2125,2007
2126,2007
2132,2007
2140,2007
2154,2007
2176,2007
2182,2007
2189,2007
2210,2007
2237,2007
2243,2007
2244,2007
2247,2007
2249,2007
2254,2007
2257,2007
2273,2007
2274,2007
2280,2007
2287,2007
2330,2008
2332,2008
2350,2008
2362,2008
2366,2008
2381,2008
2387,2008
2400,2008
2401,2008
2406,2008
2407,2008
2413,2008
2422,2008
2431,2008
2433,2008
2436,2008
2447,2008
2454,2008
2469,2008
2476,2008
2488,2008
2490,2008
2510,2008
2524,2008
2533,2008
2569,2008
2597,2008
2624,2008
2629,2008
2644,2008
2650,2008
2664,2008
2681,2008
2682,2008
2719,2009
2739,2009
2753,2009
2759,2009
2779,2009
2835,2009
2842,2009
2862,2009
2892,2009
2901,2009
2904,2009
2913,2009
2921,2009
2924,2009
2932,2009
2934,2009
2946,2009
2951,2009
2991,2009
3025,2009
3032,2009
3076,2009
3086,2009
3089,2009
3093,2009
3107,2009
3109,2009
3112,2009
3114,2009
3119,2009
3125,2010
3126,2010
3129,2010
3141,2010
3143,2010
3148,2010
3149,2010
3154,2010
3155,2010
3165,2010
3166,2010
3194,2010
3195,2010
3213,2010
3214,2010
3231,2010
3233,2010
3246,2010
3263,2010
3271,2010
3273,2010
3311,2010
3332,2010
3343,2010
3362,2010
3371,2010
3378,2010
3383,2010
3384,2010
3401,2010
3404,2010
3416,2010
3456,2011
3463,2011
3471,2011
3474,2011
3505,2011
3508,2011
3517,2011
3519,2011
3520,2011
3531,2011
3540,2011
3553,2011
3558,2011
3569,2011
3580,2011
3583,2011
3595,2011
3599,2011
3601,2011
3605,2011
3613,2011
3642,2011
3645,2011
3657,2011
3677,2011
3697,2011
3717,2011
3733,2011
3762,2011
3766,2011
3768,2011
3769,2011
3772,2011
3774,2011
3775,2011
3776,2011
3791,2011
3795,2011
3806,2011
3823,2011
3825,2011
3837,2011
3841,2011
3858,2011
3867,2011
3870,2011
3879,2011
3934,2012
3938,2012
3942,2012
3943,2012
3963,2012
3983,2012
3995,2012
4000,2012
4016,2012
4029,2012
4036,2012
4037,2012
4044,2012
4046,2012
4052,2012
4058,2012
4066,2012
4071,2012
4081,2012
4086,2012
4088,2012
4113,2012
4124,2012
4136,2012
4138,2012
4184,2012
4197,2012
4200,2012
4202,2012
4210,2012
4223,2012
4228,2012
4250,2012
4254,2012
4259,2012
4261,2012
4271,2012
4279,2012
4282,2012
4294,2012
4317,2012
4321,2012
4324,2012
4341,2012
4344,2012
4345,2012
4351,2012
4357,2012
4359,2012
4366,2012
4372,2012
4374,2012
4385,2012
4387,2012
4389,2012
4402,2012
4410,2012
4413,2012
4457,2013
4483,2013
4487,2013
4489,2013
4492,2013
4532,2013
4535,2013
4545,2013
4551,2013
4556,2013
4559,2013
4566,2013
4578,2013
4581,2013
4584,2013
4613,2013
4614,2013
4617,2013
4650,2013
4651,2013
4652,2013
4667,2013
4673,2013
4675,2013
4688,2013
4690,2013
4695,2013
4703,2013
4705,2013
4708,2013
4724,2013
4727,2013
4729,2013
4739,2013
4742,2013
4745,2013
4747,2013
4751,2013
4754,2013
4772,2013
4781,2013
4788,2013
4789,2013
4793,2013
4797,2013
4807,2013
4820,2013
4832,2013
4833,2013
4838,2013
4853,2013
4928,2014
4953,2014
4962,2014
4977,2014
4989,2014
4993,2014
4995,2014
4996,2014
5035,2014
5040,2014
5051,2014
5073,2014
5075,2014
5080,2014
5087,2014
5101,2014
5107,2014
5133,2014
5140,2014
5151,2014
5157,2014
5164,2014
5189,2014
5191,2014
5195,2014
5197,2014
5218,2014
5219,2014
5223,2014
5233,2014
5249,2014
5252,2014
5259,2014
5286,2014
5289,2014
5296,2014
5311,2014
5320,2014
5323,2014
5331,2014
5333,2014
5346,2014
5349,2014
